,close,pe_ttm,nav,Year,percent,percent_pe
2010-08-05,987.351,65.74710083007812,1.0145062898607013,2010,0.2,0.4
2010-08-06,1011.39,67.3270034790039,1.039206438745912,2010,0.2,0.4
2010-08-09,1032.339,68.7509994506836,1.0607316028124818,2010,0.2,0.4
2010-08-10,993.992,66.15080261230469,1.0213299384628347,2010,0.2,0.4
2010-08-11,1004.637,66.83499908447266,1.0322677097878925,2010,0.2,0.4
2010-08-12,991.777,65.68209838867188,1.0190540189245536,2010,0.2,0.4
2010-08-13,1007.206,66.68440246582031,1.0349073654510277,2010,0.2,0.4
2010-08-16,1030.217,67.75340270996094,1.058551241069713,2010,0.2,0.4
2010-08-17,1033.581,67.80400085449219,1.0620077617590031,2010,0.2,0.4
2010-08-18,1026.722,66.83550262451172,1.0549601174641634,2010,0.2,0.4
2010-08-19,1025.526,66.72540283203125,1.0537312236638092,2010,0.2,0.4
2010-08-20,995.944,64.4834976196289,1.0233356246654193,2010,0.2,0.4
2010-08-23,995.613,64.59320068359375,1.0229955211136492,2010,0.2,0.4
2010-08-24,1004.985,65.16210174560547,1.0326252808936813,2010,0.2,0.4
2010-08-25,976.878,63.35129928588867,1.003745249082183,2010,0.2,0.4
2010-08-26,980.63,63.412601470947266,1.0076004410043637,2010,0.2,0.4
2010-08-27,999.456,64.72920227050781,1.0269442158249875,2010,0.2,0.4
2010-08-30,1024.928,66.3833999633789,1.0531167767636322,2010,0.2,0.4
2010-08-31,1025.57,66.39689636230469,1.0537764338036215,2010,0.2,0.4
2010-09-01,995.586,64.44120025634766,1.0229677785278553,2010,0.2,0.4
2010-09-02,1014.922,65.706298828125,1.0428355799690312,2010,0.2,0.4
2010-09-03,1036.703,67.09880065917969,1.0652156266793256,2010,0.2,0.4
2010-09-06,1010.764,65.42109680175781,1.0385632217567633,2010,0.2,0.4
2010-09-07,1022.622,66.18309783935547,1.0507473544361936,2010,0.2,0.4
2010-09-08,1026.327,66.4009017944336,1.0545542537090296,2010,0.2,0.4
2010-09-09,1021.832,66.10220336914062,1.0499356269259263,2010,0.2,0.4
