group_pe,number,date,close,pe_ttm,nav,year,percent,percent_pe,group_percent,group_pe,maxdd,maxl,maxdd_group_360,maxl_group_360
0,15,2010-06-25,1016.283,70.27989959716797,1.0442340117936817,2010,0.2,0.5,0,0,0.6973994356458193,0.4158516869808902,0.38704539076807287,0.25634690337238747
1,97,2010-10-29,1064.522,66.3135986328125,1.0937997375756885,2010,0.2,0.4,0,1,0.6973994356458193,0.4423224696154706,0.49317102763868415,0.4129656315228807
2,98,2010-11-01,1107.5230000000001,68.96410369873047,1.13798340171367,2010,0.2,0.5,0,2,0.6973994356458193,0.46397501451437134,0.49317102763868415,0.4357579932877242
3,102,2010-11-05,1072.219,66.80509948730469,1.1017084295333184,2010,0.2,0.4,0,3,0.6973994356458193,0.4463257972485099,0.49317102763868415,0.4171796992965057
4,106,2010-11-11,1132.722,70.62359619140625,1.1638754542848424,2010,0.2,0.5,0,4,0.6973994356458193,0.475899647044906,0.49317102763868415,0.4483103532905691
5,107,2010-11-12,1082.24,67.45140075683594,1.1120050388755829,2010,0.2,0.4,0,5,0.6973994356458193,0.4514525428740391,0.49317102763868415,0.4225763231815494
6,109,2010-11-16,1126.175,70.30290222167969,1.157148390981399,2010,0.2,0.5,0,6,0.6973994356458193,0.47285279818855863,0.49317102763868415,0.44510311452482965
7,111,2010-11-18,1102.845,68.76000213623047,1.1331767418490744,2010,0.2,0.4,0,7,0.6973994356458193,0.46170132702238303,0.49317102763868415,0.43336461606118726
8,137,2010-12-24,1144.502,71.2676010131836,1.1759794417164235,2010,0.2,0.5,6,8,0.6973994356458193,0.48129404754207505,0.4591149514129497,0.4539887217322469
9,139,2010-12-28,1091.483,67.89289855957031,1.1215022507457104,2010,0.2,0.4,6,9,0.6973994356458193,0.4560978045466581,0.4591149514129497,0.4274661172001763
10,146,2011-01-07,1126.517,69.87220001220703,1.1574997970681224,2011,0.2,0.5,6,10,0.6973994356458193,0.47301283513697534,0.44527157601705086,0.44527157601705086
11,214,2011-04-22,1004.6460000000001,55.49620056152344,1.0322769573164905,2011,0.2,0.4,6,11,0.6973994356458193,0.4090853892813987,0.37797890998421346,0.37797890998421346
12,324,2011-09-28,817.515,42.2677001953125,0.8399992601977122,2011,0.2,0.3,8,12,0.6973994356458193,0.27382372188889503,0.3553998267052056,0.27382372188889503
