group_percent,number,date,close,pe_ttm,nav,year,percent,percent_pe,group_percent,group_pe,maxdd,maxl,maxdd_group_360,maxl_group_360
0,114,2010-11-23,1183.502,73.88870239257812,1.216052065641013,2010,0.2,0.5,0,8,0.6973994356458193,0.49838699047403384,0.49317102763868415,0.4719814584174763
1,115,2010-11-24,1208.45,75.46330261230469,1.2416862149146195,2010,0.3,0.5,1,8,0.6973994356458193,0.5087426041623568,0.49317102763868415,0.4828822044768092
2,116,2010-11-25,1186.358,74.0541000366211,1.218986614716106,2010,0.2,0.5,2,8,0.6973994356458193,0.4995945574607328,0.49317102763868415,0.47325259323071117
3,118,2010-11-29,1220.11,76.11070251464844,1.2536669019648945,2010,0.3,0.5,3,8,0.6973994356458193,0.5134373130291531,0.49317102763868415,0.4878240486513511
4,127,2010-12-10,1166.8010000000002,72.75810241699219,1.1988917350726906,2010,0.2,0.5,4,8,0.6973994356458193,0.4912071552904052,0.49317102763868415,0.464423667789109
5,135,2010-12-22,1201.647,74.79879760742188,1.2346961107977226,2010,0.3,0.5,5,8,0.6973994356458193,0.5059614013100353,0.4799545956508026,0.4799545956508026
6,252,2011-06-17,802.637,43.12409973144531,0.8247120679220701,2011,0.2,0.3,6,12,0.6973994356458193,0.26036302836774283,0.3777338005448472,0.26036302836774283
7,255,2011-06-22,791.513,42.45819854736328,0.8132821225749641,2011,0.1,0.3,7,12,0.6973994356458193,0.24996809907101974,0.3777338005448472,0.24996809907101974
8,324,2011-09-28,817.515,42.2677001953125,0.8399992601977122,2011,0.2,0.3,8,12,0.6973994356458193,0.27382372188889503,0.3553998267052056,0.27382372188889503
9,328,2011-10-11,786.1510000000001,40.37749862670898,0.8077726505369218,2011,0.1,0.2,9,13,0.6973994356458193,0.24485245200985573,0.3553998267052056,0.24485245200985573
10,334,2011-10-19,804.436,41.11330032348633,0.8265605461384891,2011,0.2,0.2,10,15,0.6973994356458193,0.2620171150967884,0.3553998267052056,0.2620171150967884
